train_loss,train_acc_step,epoch,step,val_acc_step,val_loss,val_acc_epoch,train_acc_epoch,test_acc_step,test_loss,test_acc_epoch
0.4490393102169037,0.84375,2,4149,,,,,,,
1.1308287382125854,0.71875,2,4199,,,,,,,
,,,314,0.75,,,,,,
,,,315,0.59375,,,,,,
,,,316,0.65625,,,,,,
,,,317,0.65625,,,,,,
,,,318,0.71875,,,,,,
,,,319,0.625,,,,,,
,,,320,0.6875,,,,,,
,,,321,0.71875,,,,,,
,,,322,0.625,,,,,,
,,,323,0.625,,,,,,
,,,324,0.65625,,,,,,
,,,325,0.59375,,,,,,
,,,326,0.6875,,,,,,
,,,327,0.53125,,,,,,
,,,328,0.6875,,,,,,
,,,329,0.65625,,,,,,
,,,330,0.59375,,,,,,
,,,331,0.78125,,,,,,
,,,332,0.75,,,,,,
,,,333,0.6875,,,,,,
,,,334,0.625,,,,,,
,,,335,0.6875,,,,,,
,,,336,0.6875,,,,,,
,,,337,0.6875,,,,,,
,,,338,0.71875,,,,,,
,,,339,0.75,,,,,,
,,,340,0.5625,,,,,,
,,,341,0.75,,,,,,
,,,342,0.6875,,,,,,
,,,343,0.6875,,,,,,
,,,344,0.5625,,,,,,
,,,345,0.65625,,,,,,
,,,346,0.65625,,,,,,
,,,347,0.71875,,,,,,
,,,348,0.65625,,,,,,
,,,349,0.78125,,,,,,
,,,350,0.53125,,,,,,
,,,351,0.71875,,,,,,
,,,352,0.75,,,,,,
,,,353,0.71875,,,,,,
,,,354,0.84375,,,,,,
,,,355,0.53125,,,,,,
,,,356,0.78125,,,,,,
,,,357,0.6875,,,,,,
,,,358,0.59375,,,,,,
,,,359,0.6875,,,,,,
,,,360,0.75,,,,,,
,,,361,0.6875,,,,,,
,,,362,0.75,,,,,,
,,,363,0.75,,,,,,
,,,364,0.78125,,,,,,
,,,365,0.78125,,,,,,
,,,366,0.71875,,,,,,
,,,367,0.53125,,,,,,
,,,368,0.6875,,,,,,
,,,369,0.625,,,,,,
,,,370,0.5,,,,,,
,,,371,0.78125,,,,,,
,,,372,0.625,,,,,,
,,,373,0.65625,,,,,,
,,,374,0.71875,,,,,,
,,,375,0.625,,,,,,
,,,376,0.65625,,,,,,
,,,377,0.71875,,,,,,
,,,378,0.6875,,,,,,
,,,379,0.6875,,,,,,
,,,380,0.6875,,,,,,
,,,381,0.65625,,,,,,
,,,382,0.5625,,,,,,
,,,383,0.65625,,,,,,
,,,384,0.6875,,,,,,
,,,385,0.4375,,,,,,
,,,386,0.71875,,,,,,
,,,387,0.6875,,,,,,
,,,388,0.6875,,,,,,
,,,389,0.8125,,,,,,
,,,390,0.78125,,,,,,
,,,391,0.8125,,,,,,
,,,392,0.65625,,,,,,
,,,393,0.65625,,,,,,
,,,394,0.59375,,,,,,
,,,395,0.75,,,,,,
,,,396,0.84375,,,,,,
,,,397,0.6875,,,,,,
,,,398,0.6875,,,,,,
,,,399,0.65625,,,,,,
